,structures,Etot (eV/atom),Etot (eV),Emix (eV/atom),Eform (eV/atom),Ms (emu/g),Ms (mub/atom),mb (mub/cell),rmsd (\AA),V0 (A3/atom),phase
347,Fe28Ni33Co33Cr33Mn33_sqsbcc,-7.72961,-1236.737,0.03661,0.10518,105.059,1.05,168.76,0.187,11.4,bcc
348,Fe24Ni24Co24Cr24Mn64_sqsbcc,-8.02964,-1284.7416,0.01734,0.10188,108.539,1.08,173.44,0.0912,11.45,bcc
349,Fe64Ni24Co24Cr24Mn24_sqsbcc,-7.86275,-1258.0396,0.03191,0.08178,142.589,1.43,228.77,0.0643,11.42,bcc
350,Fe24Ni64Co24Cr24Mn24_sqsbcc,-7.20547,-1152.8745,-0.02661,0.04687,66.389,0.67,107.87,0.6508,11.13,bcc
351,Fe24Ni24Co64Cr24Mn24_sqsbcc,-7.58444,-1213.5104,-0.01495,0.05978,58.785,0.6,95.62,0.6392,10.89,bcc
352,Fe24Ni24Co24Cr64Mn24_sqsbcc,-8.14415,-1303.0642,0.06829,0.11816,63.075,0.62,99.46,0.1437,11.24,bcc
353,FeNiCoCrPd_sqsbcc,-7.0051,-1120.8163,-0.02414,0.08845,70.45,0.84,133.93,1.13713,12.24,bcc
354,Fe31Ni31Co31Cr36Pd31_sqsbcc,-7.07923,-1132.6766,0.04335,0.08978,62.084,0.73,117.22,1.15658,12.19,bcc
355,Fe31Ni31Co31Cr31Pd36_sqsbcc,-6.95111,-1112.1783,0.03596,0.08382,62.111,0.75,120.3,1.17205,12.36,bcc
356,Fe31Ni36Co31Cr31Pd31_sqsbcc,-6.96095,-1113.7523,0.03243,0.08181,71.845,0.85,136.08,1.28101,12.2,bcc
357,Fe31Ni31Co36Cr31Pd31_sqsbcc,-6.99172,-1118.67,0.0505,0.10003,53.124,0.63,100.64,1.17327,12.23,bcc
358,Fe36Ni31Co31Cr31Pd31_sqsbcc,-7.03073,-1124.9168,0.05213,0.09856,72.19,0.85,136.55,0.9012,12.24,bcc
359,Fe24Ni24Co24Cr24Pd64_sqsbcc,-6.56379,-1050.2064,0.01347,0.06085,59.378,0.81,129.9,0.6472,13.25,bcc
360,Fe64Ni24Co24Cr24Pd24_sqsbcc,-7.30381,-1168.6091,0.0397,0.07564,98.036,1.12,178.97,1.0992,12.09,bcc
361,Fe24Ni64Co24Cr24Pd24_sqsbcc,-6.6385,-1062.1596,-0.01079,0.04877,62.637,0.72,115.63,0.8157,11.87,bcc
362,Fe24Ni24Co64Cr24Pd24_sqsbcc,-7.00565,-1120.9047,0.01269,0.07349,71.142,0.82,131.45,1.1071,11.84,bcc
363,Fe24Ni24Co24Cr64Pd24_sqsbcc,-7.57075,-1211.3201,0.09054,0.12649,21.678,0.24,38.98,0.6252,11.91,bcc
